name,calories,protein,carbs,fat,price,category,flavor_tags,source,serving_grams
红烧肉,500.0,20.0,10.0,35.0,12.0,荤菜,"咸,甜",中国食物成分表第6版,150
宫保鸡丁,350.0,25.0,15.0,22.0,10.0,荤菜,"辣,酸甜",中国食物成分表第6版,160
鱼香肉丝,280.0,18.0,20.0,16.0,10.0,荤菜,"辣,酸甜",中国食物成分表第6版,150
糖醋里脊,420.0,22.0,35.0,24.0,11.0,荤菜,酸甜,中国食物成分表第6版,150
回锅肉,450.0,18.0,12.0,36.0,10.0,荤菜,"辣,咸",中国食物成分表第6版,160
土豆烧牛肉,380.0,28.0,20.0,20.0,14.0,荤菜,咸,中国食物成分表第6版,200
青椒炒肉,260.0,16.0,8.0,18.0,9.0,荤菜,"辣,咸",中国食物成分表第6版,160
红烧鸡腿,320.0,30.0,5.0,20.0,10.0,荤菜,咸,中国食物成分表第6版,160
啤酒鸭,380.0,22.0,10.0,28.0,12.0,荤菜,咸,中国食物成分表第6版,150
蒜苗炒肉,240.0,14.0,10.0,16.0,9.0,荤菜,咸,中国食物成分表第6版,150
木须肉,260.0,16.0,8.0,18.0,10.0,荤菜,咸,中国食物成分表第6版,150
西红柿炒鸡蛋,180.0,10.0,12.0,10.0,7.0,荤菜,"酸甜,清淡",中国食物成分表第6版,150
芹菜炒牛肉,220.0,20.0,8.0,12.0,12.0,荤菜,"咸,清淡",中国食物成分表第6版,150
葱爆羊肉,400.0,28.0,6.0,30.0,15.0,荤菜,咸,中国食物成分表第6版,150
辣子鸡,380.0,26.0,12.0,26.0,10.0,荤菜,辣,中国食物成分表第6版,150
清炒小白菜,80.0,3.0,5.0,4.0,4.0,素菜,清淡,中国食物成分表第6版,150
蒜蓉西兰花,90.0,4.0,8.0,5.0,5.0,素菜,清淡,中国食物成分表第6版,150
地三鲜,180.0,3.0,18.0,12.0,6.0,素菜,咸,中国食物成分表第6版,150
醋溜土豆丝,140.0,2.0,28.0,3.0,4.0,素菜,酸甜,中国食物成分表第6版,150
麻婆豆腐,160.0,10.0,8.0,10.0,5.0,素菜,"辣,麻",中国食物成分表第6版,150
干煸四季豆,140.0,4.0,10.0,10.0,5.0,素菜,"辣,咸",中国食物成分表第6版,150
凉拌黄瓜,50.0,1.0,5.0,3.0,3.0,素菜,"清淡,酸甜",中国食物成分表第6版,150
素炒豆芽,70.0,4.0,5.0,4.0,3.0,素菜,清淡,中国食物成分表第6版,150
红烧茄子,150.0,2.0,14.0,10.0,5.0,素菜,咸,中国食物成分表第6版,150
清炒菠菜,70.0,4.0,5.0,3.0,4.0,素菜,清淡,中国食物成分表第6版,150
松仁玉米,180.0,5.0,20.0,10.0,6.0,素菜,"甜,清淡",中国食物成分表第6版,150
酸辣土豆丝,130.0,2.0,26.0,3.0,4.0,素菜,"酸,辣",中国食物成分表第6版,150
手撕包菜,80.0,2.0,8.0,5.0,4.0,素菜,"辣,咸",中国食物成分表第6版,150
番茄蛋汤,90.0,5.0,8.0,3.0,3.0,汤,"酸甜,清淡",中国食物成分表第6版,300
紫菜蛋花汤,60.0,4.0,5.0,2.0,2.0,汤,清淡,中国食物成分表第6版,300
冬瓜排骨汤,180.0,14.0,6.0,12.0,6.0,汤,"咸,清淡",中国食物成分表第6版,300
酸辣汤,120.0,6.0,10.0,6.0,4.0,汤,"酸,辣",中国食物成分表第6版,300
玉米排骨汤,200.0,15.0,12.0,10.0,7.0,汤,"咸,甜",中国食物成分表第6版,300
豆腐青菜汤,60.0,5.0,4.0,2.0,2.0,汤,清淡,中国食物成分表第6版,300
西红柿牛肉汤,160.0,14.0,8.0,8.0,8.0,汤,酸甜,中国食物成分表第6版,300
萝卜丝汤,40.0,2.0,4.0,1.0,2.0,汤,清淡,中国食物成分表第6版,300
米饭,200.0,4.0,45.0,0.5,1.0,主食,,中国食物成分表第6版,175
馒头,220.0,7.0,45.0,1.0,1.0,主食,,中国食物成分表第6版,100
花卷,200.0,6.0,40.0,2.0,1.0,主食,,中国食物成分表第6版,100
蛋炒饭,350.0,10.0,45.0,14.0,5.0,主食,咸,中国食物成分表第6版,200
炒面,380.0,12.0,50.0,14.0,6.0,主食,咸,中国食物成分表第6版,200
煮面条,280.0,10.0,55.0,2.0,4.0,主食,清淡,中国食物成分表第6版,250
小米粥,90.0,3.0,18.0,0.5,2.0,主食,清淡,中国食物成分表第6版,200
蒸红薯,130.0,2.0,30.0,0.2,3.0,主食,甜,中国食物成分表第6版,130
苹果,80.0,0.3,20.0,0.2,2.0,水果,甜,中国食物成分表第6版,150
香蕉,100.0,1.2,24.0,0.3,2.0,水果,甜,中国食物成分表第6版,110
西瓜,60.0,0.8,14.0,0.2,1.0,水果,甜,中国食物成分表第6版,200
橙子,70.0,1.2,16.0,0.2,2.0,水果,酸甜,中国食物成分表第6版,150
葡萄,90.0,0.8,21.0,0.2,3.0,水果,甜,中国食物成分表第6版,200
豆浆,60.0,4.0,4.0,2.5,2.0,饮品,"甜,清淡",中国食物成分表第6版,200
牛奶,130.0,6.0,8.0,7.0,3.0,饮品,清淡,中国食物成分表第6版,200
酸梅汤,50.0,0.0,12.0,0.0,3.0,饮品,酸甜,中国食物成分表第6版,200
绿豆汤,45.0,2.0,10.0,0.1,2.0,饮品,"甜,清淡",中国食物成分表第6版,200
柠檬水,20.0,0.0,5.0,0.0,1.0,饮品,酸甜,中国食物成分表第6版,200
黄焖鸡,320.0,22.0,15.0,20.0,15.0,荤菜,"咸,香",中国食物成分表第6版,200
麻辣香锅,480.0,25.0,20.0,32.0,18.0,荤菜,"辣,麻",中国食物成分表第6版,250
水煮肉片,420.0,26.0,12.0,30.0,16.0,荤菜,"辣,麻",中国食物成分表第6版,250
酸菜鱼,350.0,30.0,12.0,20.0,18.0,荤菜,"酸,辣",中国食物成分表第6版,300
糖醋排骨,450.0,22.0,30.0,28.0,16.0,荤菜,酸甜,中国食物成分表第6版,150
可乐鸡翅,380.0,24.0,22.0,24.0,13.0,荤菜,"甜,咸",中国食物成分表第6版,200
炸鸡排,460.0,26.0,30.0,26.0,12.0,荤菜,"酥脆,咸",中国食物成分表第6版,200
黑椒牛柳,380.0,30.0,10.0,26.0,20.0,荤菜,"黑椒,咸",中国食物成分表第6版,200
椒盐里脊,400.0,24.0,18.0,28.0,14.0,荤菜,"椒盐,咸",中国食物成分表第6版,150
