date,meal_time,dish_id
2026-08-03,breakfast,43
2026-08-03,breakfast,38
2026-08-03,breakfast,50
2026-08-03,breakfast,44
2026-08-03,breakfast,51
2026-08-03,lunch,1
2026-08-03,lunch,16
2026-08-03,lunch,29
2026-08-03,lunch,37
2026-08-03,lunch,45
2026-08-03,dinner,3
2026-08-03,dinner,19
2026-08-03,dinner,30
2026-08-03,dinner,38
2026-08-03,dinner,46
2026-08-04,breakfast,42
2026-08-04,breakfast,39
2026-08-04,breakfast,51
2026-08-04,breakfast,44
2026-08-04,breakfast,53
2026-08-04,lunch,2
2026-08-04,lunch,20
2026-08-04,lunch,31
2026-08-04,lunch,37
2026-08-04,lunch,48
2026-08-04,dinner,12
2026-08-04,dinner,17
2026-08-04,dinner,34
2026-08-04,dinner,37
2026-08-04,dinner,47
2026-08-05,breakfast,40
2026-08-05,breakfast,50
2026-08-05,breakfast,43
2026-08-05,breakfast,45
2026-08-05,breakfast,39
2026-08-05,lunch,6
2026-08-05,lunch,18
2026-08-05,lunch,33
2026-08-05,lunch,37
2026-08-05,lunch,49
2026-08-05,dinner,11
2026-08-05,dinner,25
2026-08-05,dinner,36
2026-08-05,dinner,38
2026-08-05,dinner,46
2026-08-06,breakfast,41
2026-08-06,breakfast,51
2026-08-06,breakfast,44
2026-08-06,breakfast,46
2026-08-06,breakfast,52
2026-08-06,lunch,8
2026-08-06,lunch,21
2026-08-06,lunch,35
2026-08-06,lunch,37
2026-08-06,lunch,45
2026-08-06,dinner,13
2026-08-06,dinner,22
2026-08-06,dinner,32
2026-08-06,dinner,37
2026-08-06,dinner,48
2026-08-07,breakfast,42
2026-08-07,breakfast,38
2026-08-07,breakfast,50
2026-08-07,breakfast,48
2026-08-07,breakfast,53
2026-08-07,lunch,4
2026-08-07,lunch,26
2026-08-07,lunch,30
2026-08-07,lunch,37
2026-08-07,lunch,47
2026-08-07,dinner,7
2026-08-07,dinner,28
2026-08-07,dinner,29
2026-08-07,dinner,39
2026-08-07,dinner,46
